date,total
2019-04-18,2550
2019-04-19,5226
2019-04-20,11112
2019-04-21,17632
2019-04-22,57884
2019-04-23,76620
2019-04-24,28972
2019-04-25,21821
2019-04-26,3244
2019-04-27,1730
2019-04-28,548
2019-04-29,4540
2019-04-30,4434
2019-05-01,8543
2019-05-02,7622
2019-05-03,2402
2019-05-04,1720
2019-05-05,897
2019-05-06,1909
2019-05-07,4065
2019-05-08,3218
2019-05-09,2382
2019-05-10,2625
2019-05-11,676
2019-05-12,928
2019-05-13,443
2019-05-14,7043
2019-05-15,2454
2019-05-16,4552
2019-05-17,20468
2019-05-18,6030
2019-05-19,5464
2019-05-20,4428
2019-05-21,6477
2019-05-22,8043
2019-05-23,10552
2019-05-24,12609
2019-05-25,2827
2019-05-26,838
2019-05-27,6020
2019-05-28,1817
2019-05-29,1582
2019-05-30,1519
2019-05-31,4459
2019-06-01,5370
2019-06-02,6069
2019-06-03,9182
2019-06-04,12206
